          15
          13
H         0.810476540620E+01         0.640122268211E+01         0.779421396560E+01 1
H         0.448425224074E+01         0.482176544966E+01         0.382015011499E+01 2
H         0.233632223834E+00         0.449696190603E+01         0.482572639228E+01 3
H         0.361962639275E+01         0.971135875055E+01         0.500621633335E+01 4
H         0.991471752097E+01         0.861661336184E+01         0.939606289226E+01 5
H         0.278002871058E+01         0.538568584529E+01         0.157499858177E+00 6
H         0.748634114826E+01         0.950319936643E+01         0.255163506881E+01 7
H         0.955275719836E+01         0.447172454190E+00         0.439188505627E+00 8
H         0.562937146754E+01         0.281878287532E+01         0.562690770039E+01 2
H         0.942751956298E+00         0.776933084395E+01         0.402096017233E+01 9
H         0.177390300479E+02         0.121135178402E+02         0.186598476741E+02 10
H         0.154051672255E+02         0.176292293282E+02         0.158201003907E+02 11
H         0.122560242226E+02         0.177446769692E+02         0.191260053734E+02 12
H         0.174962394750E+02         0.195135192563E+02         0.162038624296E+02 11
H         0.167556016948E+02         0.190626051086E+02         0.196115109778E+02 13
