          15
           2
H             0.810476540243E+01         0.640122267913E+01         0.779421396197E+01 0
H             0.448425223865E+01         0.482176544741E+01         0.382015011321E+01 1
H             0.233632223725E+00         0.449696190394E+01         0.482572639003E+01 0
H             0.361962639107E+01         0.971135874602E+01         0.500621633101E+01 0
H             0.991471751636E+01         0.861661335783E+01         0.939606288788E+01 0
H             0.278002870928E+01         0.538568584278E+01         0.157499858104E+00 0
H             0.748634114477E+01         0.950319936201E+01         0.255163506763E+01 0
H             0.955275719392E+01         0.447172453982E+00         0.439188505422E+00 0
H             0.562937146492E+01         0.281878287401E+01         0.562690769777E+01 1
H             0.942751955859E+00         0.776933084034E+01         0.402096017046E+01 0
H             0.177390300452E+02         0.121135178401E+02         0.186598476710E+02 0
H             0.154051672240E+02         0.176292293255E+02         0.158201003890E+02 2
H             0.122560242225E+02         0.177446769665E+02         0.191260053701E+02 0
H             0.174962394724E+02         0.195135192528E+02         0.162038624277E+02 2
H             0.167556016926E+02         0.190626051053E+02         0.196115109742E+02 0
